TimeStamp,Counter,RelativeDistance,RelativeSpeed,LeadVehicleSpeed,HostVehicleSpeed
1712345759.0418,818.0,28.17,-0.01,4.5,4.51
1712345759.1419,819.0,27.74,-0.04,4.5,4.54
1712345759.2421,820.0,27.301,-0.05,4.5,4.55
1712345759.3422,821.0,28.868,-0.07,4.5,4.57
1712345759.4423,822.0,28.429,-0.09,4.5,4.59
1712345759.5425,823.0,27.955,-0.11,4.5,4.61
1712345759.6426,824.0,27.517,-0.13,4.5,4.63
1712345759.7429,825.0,27.021,-0.15,4.5,4.65
1712345759.843,826.0,28.647,-0.16,4.5,4.66
1712345759.9431,827.0,28.176,-0.18,4.5,4.68
1712345760.0432,828.0,27.706,-0.19,4.5,4.69
1712345760.1434,829.0,27.149,-0.19,4.5,4.69
1712345760.2445,830.0,28.812,-0.2,4.5,4.7
1712345760.3439,831.0,28.295,-0.21,4.5,4.71
1712345760.444,832.0,27.886,-0.23,4.5,4.73
1712345760.5441,833.0,27.31,-0.23,4.5,4.73
1712345760.6443,834.0,26.858,-0.24,4.5,4.74
1712345760.7445,835.0,28.443,-0.23,4.5,4.73
1712345760.9155,836.0,27.496,-0.24,4.5,4.74
1712345760.9452,837.0,27.496,-0.25,4.5,4.75
1712345761.0454,838.0,27.108,-0.25,4.5,4.75
1712345761.1455,839.0,28.636,-0.25,4.5,4.75
1712345761.2461,840.0,28.163,-0.25,4.5,4.75
1712345761.3463,841.0,27.71,-0.25,4.5,4.75
1712345761.4464,842.0,27.15,-0.25,4.5,4.75
1712345761.5467,843.0,26.713,-0.25,4.5,4.75
1712345761.6468,844.0,28.322,-0.25,4.5,4.75
1712345761.7472,845.0,27.816,-0.25,4.5,4.75
1712345761.8473,846.0,27.305,-0.24,4.5,4.74
1712345761.9474,847.0,26.846,-0.24,4.5,4.74
1712345762.0475,848.0,28.413,-0.23,4.5,4.73
1712345762.1476,849.0,27.954,-0.23,4.5,4.73
1712345762.2477,850.0,27.447,-0.23,4.5,4.73
1712345762.3479,851.0,27.008,-0.21,4.5,4.71
1712345762.448,852.0,26.566,-0.21,4.5,4.71
1712345762.5481,853.0,27.988,-0.21,4.5,4.71
1712345762.6483,854.0,27.566,-0.2,4.5,4.7
1712345762.7484,855.0,27.09,-0.19,4.5,4.69
1712345762.8485,856.0,26.582,-0.19,4.5,4.69
1712345762.9488,857.0,28.099,-0.18,4.5,4.68
1712345763.049,858.0,27.647,-0.18,4.5,4.68
1712345763.1491,859.0,27.192,-0.16,4.5,4.66
1712345763.2493,860.0,26.752,-0.16,4.5,4.66
1712345763.3495,861.0,28.2,-0.16,4.5,4.66
1712345763.4496,862.0,27.714,-0.15,4.5,4.65
1712345763.5497,863.0,27.235,-0.13,4.5,4.63
1712345763.6499,864.0,26.867,-0.13,4.5,4.63
1712345763.7531,865.0,26.394,-0.12,4.5,4.62
1712345763.8608,866.0,27.864,-0.12,4.5,4.62
1712345763.9506,867.0,27.406,-0.1,4.5,4.6
1712345764.0507,868.0,26.909,-0.09,4.5,4.59
1712345764.1509,869.0,26.521,-0.09,4.5,4.59
1712345764.251,870.0,28.018,-0.09,4.5,4.59
1712345764.3511,871.0,27.514,-0.08,4.5,4.58
1712345764.4512,872.0,27.083,-0.07,4.5,4.57
1712345764.5514,873.0,26.616,-0.06,4.5,4.56
1712345764.6516,874.0,28.151,-0.06,4.5,4.56
1712345764.7517,875.0,27.679,-0.05,4.5,4.55
1712345764.8518,876.0,27.193,-0.04,4.5,4.54
1712345764.9519,877.0,26.78,-0.03,4.5,4.53
1712345765.0521,878.0,26.244,-0.02,4.5,4.52
1712345765.1523,879.0,27.869,-0.02,4.5,4.52
1712345765.2524,880.0,27.426,-0.02,4.5,4.52
1712345765.3525,881.0,26.935,-0.01,4.5,4.51
1712345765.4527,882.0,26.505,-0.01,4.5,4.51
1712345765.5528,883.0,28.686,-0.0,4.5,4.5
1712345765.6529,884.0,28.295,0.0,4.5,4.5
1712345765.753,885.0,27.851,0.01,4.5,4.49
1712345765.8532,886.0,27.378,0.02,4.5,4.48
1712345765.9533,887.0,26.915,0.02,4.5,4.48
1712345766.0534,888.0,26.396,0.02,4.5,4.48
1712345766.1536,889.0,28.055,0.02,4.5,4.48
1712345766.2537,890.0,27.501,0.02,4.5,4.48
1712345766.3539,891.0,27.132,0.02,4.5,4.48
1712345766.454,892.0,26.542,0.02,4.5,4.48
1712345766.5541,893.0,26.136,0.02,4.5,4.48
1712345766.6543,894.0,27.742,0.03,4.5,4.47
1712345766.7544,895.0,27.311,0.02,4.5,4.48
1712345766.8546,896.0,26.879,0.02,4.5,4.48
1712345766.9547,897.0,26.44,0.01,4.5,4.49
1712345767.055,898.0,27.995,0.01,4.5,4.49
1712345767.1551,899.0,27.585,0.01,4.5,4.49
1712345767.2553,900.0,26.987,0.01,4.5,4.49
1712345767.3554,901.0,26.585,0.01,4.5,4.49
1712345767.4555,902.0,26.194,0.01,4.5,4.49
1712345767.5558,903.0,27.809,0.01,4.5,4.49
1712345767.6559,904.0,27.252,-0.0,4.5,4.5
1712345767.756,905.0,26.904,0.01,4.5,4.49
1712345767.8562,906.0,26.402,-0.01,4.5,4.51
1712345767.9563,907.0,28.867,-0.0,4.5,4.5
1712345768.0565,908.0,28.367,-0.01,4.5,4.51
1712345768.1566,909.0,28.065,-0.0,4.5,4.5
1712345768.2567,910.0,27.609,-0.01,4.5,4.51
1712345768.3568,911.0,27.139,-0.01,4.5,4.51
1712345768.457,912.0,26.694,-0.02,4.5,4.52
1712345768.5571,913.0,26.265,-0.02,4.5,4.52
1712345768.6573,914.0,27.737,-0.02,4.5,4.52
1712345768.7574,915.0,27.353,-0.02,4.5,4.52
1712345768.8575,916.0,26.874,-0.02,4.5,4.52
1712345768.9577,917.0,26.41,-0.02,4.5,4.52
1712345769.0582,918.0,27.981,-0.02,4.5,4.52
1712345769.1583,919.0,27.498,-0.03,4.5,4.53
1712345769.2584,920.0,27.133,-0.02,4.5,4.52
1712345769.3585,921.0,26.676,-0.02,4.5,4.52
1712345769.4587,922.0,28.145,-0.03,4.5,4.53
1712345769.5588,923.0,27.707,-0.04,4.5,4.54
1712345769.6589,924.0,27.277,-0.04,4.5,4.54
1712345769.7591,925.0,26.832,-0.03,4.5,4.53
1712345769.8592,926.0,26.372,-0.03,4.5,4.53
1712345769.9594,927.0,27.895,-0.03,4.5,4.53
1712345770.0598,928.0,27.299,-0.04,4.5,4.54
1712345770.1598,929.0,27.001,-0.04,4.5,4.54
1712345770.26,930.0,26.524,-0.04,4.5,4.54
1712345770.3601,931.0,28.89,-0.03,4.5,4.53
1712345770.4603,932.0,28.461,-0.03,4.5,4.53
1712345770.5604,933.0,28.059,-0.04,4.5,4.54
1712345770.6605,934.0,27.575,-0.03,4.5,4.53
