Time,VehicleType,VehicleSpeed,Grade
49.84,vehicle.nissan.micra,0.0,0.0
49.9,vehicle.nissan.micra,0.0,0.0
50.05,vehicle.nissan.micra,0.0,0.0
50.1,vehicle.nissan.micra,0.0,0.0
50.28,vehicle.nissan.micra,0.0,0.0
50.34,vehicle.nissan.micra,0.0,0.0
50.46,vehicle.nissan.micra,0.0,0.0
50.5,vehicle.nissan.micra,0.0,0.0
50.64,vehicle.nissan.micra,0.0,0.0
50.7,vehicle.nissan.micra,0.0,0.0
50.8,vehicle.nissan.micra,0.0,0.0
50.94,vehicle.nissan.micra,0.0,0.0
51.0,vehicle.nissan.micra,0.0,0.0
51.1,vehicle.nissan.micra,0.0,0.0
51.25,vehicle.nissan.micra,0.0,0.0
51.38,vehicle.nissan.micra,0.0,0.0
51.47,vehicle.nissan.micra,0.0,0.0
51.54,vehicle.nissan.micra,0.0,0.0
51.6,vehicle.nissan.micra,0.0,0.0
51.75,vehicle.nissan.micra,0.0,0.0
51.85,vehicle.nissan.micra,0.0,0.0
51.99,vehicle.nissan.micra,0.0,0.0
52.0,vehicle.nissan.micra,0.0,0.0
52.17,vehicle.nissan.micra,0.0,0.0
52.2,vehicle.nissan.micra,0.0,0.0
52.35,vehicle.nissan.micra,0.0,0.0
52.45,vehicle.nissan.micra,0.0,0.0
52.5,vehicle.nissan.micra,0.0,0.0
52.62,vehicle.nissan.micra,0.0,0.0
52.75,vehicle.nissan.micra,0.0,0.0
52.82,vehicle.nissan.micra,0.0,0.0
52.95,vehicle.nissan.micra,0.0,0.0
53.08,vehicle.nissan.micra,0.0,0.0
53.23,vehicle.nissan.micra,0.0,0.0
53.23,vehicle.nissan.micra,0.0,0.0
53.32,vehicle.nissan.micra,0.0,0.0
53.45,vehicle.nissan.micra,0.0,0.0
53.6,vehicle.nissan.micra,0.0,0.0
53.65,vehicle.nissan.micra,0.0,0.0
53.74,vehicle.nissan.micra,0.0,0.0
53.84,vehicle.nissan.micra,0.0,0.0
53.97,vehicle.nissan.micra,0.0,0.0
54.02,vehicle.nissan.micra,0.0,0.0
54.1,vehicle.nissan.micra,0.0,0.0
54.24,vehicle.nissan.micra,0.0,0.0
54.37,vehicle.nissan.micra,0.0,0.0
54.42,vehicle.nissan.micra,0.0,0.0
54.55,vehicle.nissan.micra,0.0,0.0
54.64,vehicle.nissan.micra,0.0,0.0
54.78,vehicle.nissan.micra,0.0,0.0
54.83,vehicle.nissan.micra,0.0,0.0
54.91,vehicle.nissan.micra,0.0,0.0
55.05,vehicle.nissan.micra,0.0,0.0
55.1,vehicle.nissan.micra,0.0,0.0
55.29,vehicle.nissan.micra,0.0,0.0
55.34,vehicle.nissan.micra,0.0,0.0
55.44,vehicle.nissan.micra,0.0,0.0
55.55,vehicle.nissan.micra,0.0,0.0
55.69,vehicle.nissan.micra,0.0,0.0
55.79,vehicle.nissan.micra,0.0,0.0
55.85,vehicle.nissan.micra,0.0,0.0
55.98,vehicle.nissan.micra,0.0,0.0
56.0,vehicle.nissan.micra,0.0,0.0
56.18,vehicle.nissan.micra,0.0,0.0
56.25,vehicle.nissan.micra,0.0,0.0
56.38,vehicle.nissan.micra,0.0,0.0
56.42,vehicle.nissan.micra,0.0,0.0
56.5,vehicle.nissan.micra,0.0,0.0
56.71,vehicle.nissan.micra,0.0,0.0
56.8,vehicle.nissan.micra,0.0,0.0
56.85,vehicle.nissan.micra,0.0,0.0
56.92,vehicle.nissan.micra,0.0,0.0
57.09,vehicle.nissan.micra,0.0,0.0
57.14,vehicle.nissan.micra,0.0,0.0
57.24,vehicle.nissan.micra,0.0,0.0
57.3,vehicle.nissan.micra,0.0,0.0
57.45,vehicle.nissan.micra,0.0,0.0
57.5,vehicle.nissan.micra,0.0,0.0
57.61,vehicle.nissan.micra,0.0,0.0
