Time [s],Speed [mph],Speed [mps],Acceleration Requested [mps2],Acceleration Achieved [mps2],Calculated Acceleration [mps2],
42.1,16.92665897,7.566902019,0.25,0.247432051,0.062715299,
42.2,16.97464331,7.588352965,0.25,0.244287134,0.214509669,
42.3,17.06223531,7.627510135,0.25,0.249972283,0.391572072,
42.4,17.0877025,7.638895,0.25,0.241794195,0.113848757,
42.5,17.12430991,7.655259993,0.25,0.23608337,0.163650083,
42.6,17.18673353,7.683165883,0.25,0.244358074,0.279059168,
42.7,17.248776,7.710901375,0.25,0.241832457,0.277355189,
42.8,17.31090819,7.738676981,0.25,0.236165402,0.277756322,
42.9,17.37296304,7.766418012,0.25,0.244317439,0.277410578,
43,17.398388,7.777784,0.25,0.233523474,0.113659986,
43.1,17.47161552,7.810519667,0.25,0.238590461,0.327356983,
43.2,17.5226622,7.8333396,0.25,0.241775927,0.228199547,
43.3,17.54692254,7.844184955,0.25,0.233328083,0.108453658,
43.4,17.63310688,7.882712846,0.25,0.238698719,0.385279271,
43.5,17.73351491,7.927599302,0.25,0.247279459,0.44886499,
43.6,17.7712106,7.9444508,0.25,0.243180444,0.168515141,
43.7,17.81989252,7.96621359,0.25,0.240156823,0.217628111,
43.8,17.8954848,8.0000064,0.25,0.250000438,0.337928419,
43.9,17.91973882,8.010848928,0.25,0.24859421,0.108425379,
44,17.98190597,8.038640162,0.25,0.239005062,0.277912613,
44.1,18.04397482,8.066387454,0.25,0.249742956,0.277473181,
44.2,18.10615591,8.094184918,0.25,0.252916218,0.27797491,
44.3,18.1440332,8.1111176,0.25,0.241803963,0.169326977,
44.4,18.16844956,8.122032704,0.25,0.241569082,0.109151141,
44.5,18.23057773,8.14980651,0.25,0.247273494,0.277738325,
44.6,18.31693937,8.188413661,0.25,0.25262413,0.386071885,
44.7,18.41692708,8.233112217,0.25,0.26110567,0.446985986,
44.8,18.47897218,8.260848888,0.25,0.261086203,0.277366972,
44.9,18.5168558,8.2777844,0.25,0.255683438,0.16935528,
45,18.54107109,8.288609614,0.25,0.255413051,0.108252246,
45.1,18.60322809,8.316396312,0.25,0.252938564,0.277867242,
45.2,18.66519608,8.344098514,0.25,0.2553797,0.277022282,
45.3,18.72760711,8.371998769,0.25,0.263907159,0.279002821,
45.4,18.7654042,8.3888956,0.25,0.253091618,0.168968469,
45.5,18.78970606,8.399759517,0.25,0.236080333,0.108639274,
45.6,18.85189961,8.42756255,0.25,0.241556105,0.278030593,
45.7,18.91386896,8.455265359,0.25,0.244526118,0.27702836,
45.8,18.97603668,8.483056848,0.25,0.241525454,0.277915153,
45.9,19.0381049,8.510803857,0.25,0.249977703,0.277470355,
46,19.10050511,8.538699279,0.25,0.250029797,0.278954479,
46.1,19.16263329,8.566473088,0.25,0.250043055,0.277738359,
46.2,19.22467893,8.594210005,0.25,0.250012782,0.277369436,
46.3,19.28682134,8.621990178,0.25,0.255436532,0.277801989,
46.4,19.34481681,8.647916501,0.25,0.26294215,0.259263485,
46.5,19.3867752,8.6666736,0.25,0.258433792,0.187571166,
46.6,19.41032536,8.677201476,0.25,0.24439414,0.105278859,
46.7,19.5110494,8.7222292,0.25,0.244558725,0.450277671,
46.8,19.5110494,8.7222292,0.25,0.230690376,0,
