Time [s],Speed [mph],Speed [mphs,Acceleration Command [m/s²],Calculated Acceleration [m/s²]
451.7606,21.499436600000003,9.611118800000002,0.0,0.17130656005744269
451.8616,21.3751624,9.5555632,0.0,0.13885739974148112
451.9615,21.499436600000003,9.611118800000002,0.0,0.11108886827669255
452.0606,21.4372995,9.583341,0.0,0.06479253494334844
452.1606,21.4372995,9.583341,0.0,0.06942215904512998
452.2604,21.4372995,9.583341,0.0,0.06944071468975317
452.3603,21.4372995,9.583341,0.0,0.03240364802309497
452.4605,21.4372995,9.583341,0.0,0.02314438135643012
452.5606,21.499436600000003,9.611118800000002,0.0,0.02777401468976519
452.6603,21.4372995,9.583341,0.0,0.004607310952694055
452.7603,21.499436600000003,9.611118800000002,0.0,0.03238511095270378
452.8604,21.3751624,9.5555632,0.0,0.004630435994329365
452.9604,21.4372995,9.583341,0.0,0.009264703595261263
453.0605,21.3751624,9.5555632,0.0,0.01848722714023409
453.1604,21.4372995,9.583341,0.0,0.013862218815225515
453.2604,21.3751624,9.5555632,0.0,0.013862218815225515
453.3604,21.499436600000003,9.611118800000002,0.0,1.0135310795668373e-06
453.4616,21.4372995,9.583341,0.0,0.01854737104423666
453.5606,21.5615737,9.638896600000002,0.0,0.004667711829331492
453.6603,21.4372995,9.583341,0.0,0.009301979430265736
453.7604,21.499436600000003,9.611118800000002,0.0,4.271276360148443e-05
453.8603,21.3751624,9.5555632,0.0,0.013926987755274609
453.9604,21.5615737,9.638896600000002,0.0,0.004667721088610058
454.0603,21.499436600000003,9.611118800000002,0.0,0.009297354421945117
454.1603,21.3751624,9.5555632,0.0,4.7337771927963984e-05
454.2604,21.499436600000003,9.611118800000002,0.0,-0.009324389623485555
454.3604,21.3751624,9.5555632,0.0,-0.004694756290153136
454.4604,21.499436600000003,9.611118800000002,0.0,0.009212699354467325
454.5605,21.3751624,9.5555632,0.0,0.00457378819882331
454.6606,21.499436600000003,9.611118800000002,0.0,6.736983086244423e-05
454.7604,21.3751624,9.5555632,0.0,0.00016089777698285145
454.8603,21.499436600000003,9.611118800000002,0.0,0.00015162924177804585
454.9603,21.3751624,9.5555632,0.0,-0.004555804974171115
455.0604,21.499436600000003,9.611118800000002,0.0,7.846262676341337e-05
455.1604,21.3751624,9.5555632,0.0,-0.004499875583967684
455.2604,21.499436600000003,9.611118800000002,0.0,-0.004499875583967682
455.3604,21.3751624,9.5555632,0.0,-0.009124883908975963
455.4604,21.4372995,9.583341,0.0,-0.0044952505756438365
455.5604,21.3751624,9.5555632,0.0,0.004773284626225818
455.6604,21.499436600000003,9.611118800000002,0.0,-0.009092508795254056
455.7604,21.4372995,9.583341,0.0,0.0048381832809772434
455.8603,21.4372995,9.583341,0.0,-0.009041466702374962
455.9603,21.499436600000003,9.611118800000002,0.0,0.009467816614301778
456.0604,21.4372995,9.583341,0.0,-0.004421083385703386
456.1604,21.4372995,9.583341,0.0,0.009463191605970039
456.2604,21.3751624,9.5555632,0.0,-0.004430342661634896
456.3603,21.499436600000003,9.611118800000002,0.0,0.00945855733836237
456.4605,21.4372995,9.583341,0.0,-0.009059975994967325
456.5604,21.3751624,9.5555632,0.0,-0.004485239499576201
456.6604,21.3751624,9.5555632,0.0,-0.013838034112366716
456.7604,21.499436600000003,9.611118800000002,0.0,0.004801888551250035
456.8604,21.499436600000003,9.611118800000002,0.0,-0.004452753107090962
456.9603,21.499436600000003,9.611118800000002,0.0,0.00018614876144627118
457.0604,21.3751624,9.5555632,0.0,-0.009054608612644625
457.1604,21.3751624,9.5555632,0.0,-0.009045349336718373
457.2607,21.3751624,9.5555632,0.0,0.004843550663281522
457.3605,21.499436600000003,9.611118800000002,0.0,-0.00903609932006806
457.4603,21.4372995,9.583341,0.0,0.004852800679929204
457.5604,21.499436600000003,9.611118800000002,0.0,-0.0044064659867409
457.6604,21.3751624,9.5555632,0.0,0.004843550663276259
457.7604,21.499436600000003,9.611118800000002,0.0,-0.00903609932007595
457.8605,21.3130253,9.5277854,0.0,0.004871356324544504
457.9604,21.499436600000003,9.611118800000002,0.0,-0.00902681221065757
458.0605,21.3751624,9.5555632,0.0,0.004852847004245543
458.1604,21.3751624,9.5555632,0.0,-0.009031437246706443
458.2605,21.3130253,9.5277854,0.0,0.009505651731251698
458.3605,21.3751624,9.5555632,0.0,-0.009012881602083248
458.4604,21.499436600000003,9.611118800000002,0.0,0.00947795701539571
458.5606,21.3751624,9.5555632,0.0,-0.004429498629227378
458.6603,21.499436600000003,9.611118800000002,0.0,0.009459401370769888
458.7604,21.3751624,9.5555632,0.0,-0.009068400497769876
458.8604,21.499436600000003,9.611118800000002,0.0,0.004719755750171186
458.9604,21.3751624,9.5555632,0.0,-0.0046424956822510395
459.0604,21.499436600000003,9.611118800000002,0.0,-2.2112365566311076e-05
459.1604,21.3751624,9.5555632,0.0,-0.004656370707222578
459.2604,21.499436600000003,9.611118800000002,0.0,0.004602895959447531
459.3604,21.3751624,9.5555632,0.0,-0.0046702735100242285
459.4604,21.3751624,9.5555632,0.0,-4.990871189691423e-05
459.5614,21.3751624,9.5555632,0.0,-0.004679532813678423
459.6604,21.499436600000003,9.611118800000002,0.0,0.004589002388191233
459.7604,21.4372995,9.583341,0.0,-3.139016004440921e-05
459.8604,21.3751624,9.5555632,0.0,-0.009290656826709254
459.9603,21.4372995,9.583341,0.0,-0.004661023493376832
460.0604,21.3751624,9.5555632,0.0,-0.00929065682671189
460.1604,21.4372995,9.583341,0.0,0.004593627424240089
460.2604,21.3751624,9.5555632,0.0,-3.1380900768482496e-05
460.3604,21.4372995,9.583341,0.0,0.004598252432563942
460.4603,21.4372995,9.583341,0.0,-0.009309203212056513
460.5604,21.4372995,9.583341,0.0,-4.528373140392887e-05
460.6604,21.3751624,9.5555632,0.0,-0.009295300381421089
460.7604,21.4372995,9.583341,0.0,0.009223232951919146
460.8604,21.3751624,9.5555632,0.0,-0.009313856026033723
460.9606,21.4372995,9.583341,0.0,0.00456116894899169
461.0605,21.3751624,9.5555632,0.0,-0.009341633853812498
461.1603,21.499436600000003,9.611118800000002,0.0,0.009158399446221816
461.2603,21.3751624,9.5555632,0.0,-0.0047583340207178575
461.3606,21.499436600000003,9.611118800000002,0.0,0.009125940970954968
461.4604,21.3751624,9.5555632,0.0,0.004496307637622836
461.5604,21.499436600000003,9.611118800000002,0.0,-0.009401860897581868
461.6603,21.3751624,9.5555632,0.0,-0.004795343402045106
461.7614,21.499436600000003,9.611118800000002,0.0,-0.009457463127857692
461.8603,21.3751624,9.5555632,0.0,0.004422186855491881
